"種類","価格情報区分","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","間取り","面積（㎡）","建築年","建物の構造","用途","今後の利用目的","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",3,24000000,"１Ｒ",55,"1982年","ＳＲＣ","","","準工業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",9,20000000,"３ＤＫ",65,"1976年","","","","準工業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",5,29000000,"２ＬＤＫ",75,"1981年","ＳＲＣ","","","準工業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",8,46000000,"２ＬＤＫ＋Ｓ",75,"2008年","ＲＣ","","","準工業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",8,46000000,"３ＬＤＫ",80,"2001年","ＲＣ","","","準工業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",8,38000000,"３ＬＤＫ",75,"2001年","ＳＲＣ","","","準工業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",7,28000000,"３ＬＤＫ",70,"1980年","ＲＣ","","","準工業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",8,54000000,"４ＬＤＫ",85,"2009年","ＲＣ","","","準工業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",11,43000000,"３ＬＤＫ",75,"1980年","ＳＲＣ","","","商業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",12,26000000,"２ＤＫ",45,"1985年","ＳＲＣ","","","","","","2021年第1四半期","改装済み",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",8,44000000,"３ＬＤＫ",75,"2009年","ＲＣ","","","準工業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",10,22000000,"３ＤＫ",55,"1980年","ＲＣ","","","準工業","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",2,33000000,"３ＬＤＫ",65,"1982年","ＳＲＣ","","","","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",5,9500000,"１Ｒ",25,"1981年","ＲＣ","","","","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",5,30000000,"４ＤＫ",75,"1981年","ＳＲＣ","","","準工業","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",7,39000000,"２ＬＤＫ",75,"2003年","ＳＲＣ","","","準工業","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",7,44000000,"３ＬＤＫ",90,"2003年","ＳＲＣ","","","準工業","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",8,56000000,"４ＬＤＫ",95,"2009年","ＲＣ","","","準工業","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",7,41000000,"３ＬＤＫ",75,"2000年","ＳＲＣ","","","準工業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",2,31000000,"２ＬＤＫ",65,"1982年","ＳＲＣ","","","準工業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",8,45000000,"３ＬＤＫ",75,"2009年","ＲＣ","","","準工業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",9,58000000,"４ＬＤＫ",90,"2009年","ＲＣ","","","準工業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",11,37000000,"２ＬＤＫ＋Ｓ",70,"2001年","ＳＲＣ","","","準住居","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",8,38000000,"３ＬＤＫ",65,"2001年","ＲＣ","","","","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",5,36000000,"３ＬＤＫ",75,"1981年","ＳＲＣ","","","準工業","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",4,40000000,"３ＬＤＫ",75,"1981年","ＳＲＣ","","","準工業","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",2,37000000,"２ＬＤＫ",60,"1989年","ＳＲＣ","","","１種住居","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",5,31000000,"１ＬＤＫ＋Ｓ",75,"1981年","ＳＲＣ","","","準工業","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",2,35000000,"３ＬＤＫ",75,"1989年","ＳＲＣ","","","１種住居","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",9,49000000,"２ＬＤＫ＋Ｓ",80,"2005年","ＳＲＣ","","","１種住居","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",9,59000000,"３ＬＤＫ",85,"2005年","ＲＣ","","","１種住居","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",11,63000000,"４ＬＤＫ",115,"2001年","ＳＲＣ","","","準工業","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",15,30000000,"３ＬＤＫ",65,"2009年","ＲＣ","","","準工業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",13,36000000,"３ＬＤＫ",70,"2009年","ＲＣ","","","準工業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",9,38000000,"２ＬＤＫ",55,"2015年","ＲＣ","","","１種住居","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",13,40000000,"３ＬＤＫ",70,"2009年","ＲＣ","","","準工業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",10,23000000,"２ＬＤＫ",50,"1982年","ＳＲＣ","","","","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",21,30000000,"３ＬＤＫ",70,"1999年","ＳＲＣ","","","準工業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",10,31000000,"３ＬＤＫ",70,"1982年","ＳＲＣ","","","準工業","","","2021年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",9,39000000,"３ＬＤＫ",85,"1987年","ＳＲＣ","","","準工業","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",15,24000000,"２ＬＤＫ",50,"2008年","ＲＣ","","","準工業","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",17,36000000,"３ＬＤＫ",70,"2006年","ＲＣ","","","準工業","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",15,20000000,"３ＬＤＫ",85,"1982年","ＳＲＣ","","","準工業","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",15,21000000,"３ＬＤＫ",85,"1982年","ＲＣ","","","準工業","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",20,31000000,"３ＬＤＫ＋Ｓ",80,"1999年","ＲＣ","","","準工業","","","2021年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",15,29000000,"３ＬＤＫ",75,"1999年","ＳＲＣ","","","準工業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",9,45000000,"３ＬＤＫ",65,"2015年","ＲＣ","","","１種住居","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",14,39000000,"３ＬＤＫ",90,"2003年","ＲＣ","","","準工業","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",17,32000000,"３ＬＤＫ",70,"1996年","ＳＲＣ","","","準工業","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",10,28000000,"３ＬＤＫ",65,"1982年","ＳＲＣ","","","準工業","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",9,29000000,"３ＤＫ",65,"1987年","ＳＲＣ","","","準工業","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",15,33000000,"３ＬＤＫ",70,"2009年","ＲＣ","","","準工業","","","2021年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",2,23000000,"１Ｋ",30,"2002年","ＲＣ","","","商業","","","2022年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",9,62000000,"３ＬＤＫ＋Ｓ",95,"2005年","ＳＲＣ","","","１種住居","","","2022年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",9,66000000,"４ＬＤＫ",100,"2005年","ＲＣ","","","１種住居","","","2022年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",10,42000000,"２ＬＤＫ",70,"2003年","ＲＣ","","","準工業","","","2022年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",10,46000000,"３ＬＤＫ",80,"2005年","ＲＣ","","","１種住居","","","2022年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",8,49000000,"３ＬＤＫ",75,"2009年","ＲＣ","","","準工業","","","2022年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",2,41000000,"１ＬＤＫ＋Ｓ",70,"1986年","ＳＲＣ","","","１種住居","","","2022年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",5,36000000,"３ＬＤＫ",75,"1981年","ＳＲＣ","","","準工業","","","2022年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",8,39000000,"３ＬＤＫ",65,"2001年","ＳＲＣ","","","準工業","","","2022年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",2,36000000,"１ＬＤＫ＋Ｓ",65,"1981年","ＳＲＣ","","","商業","","","2022年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",8,49000000,"２ＬＤＫ＋Ｓ",80,"2008年","ＲＣ","","","準工業","","","2022年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",2,23000000,"１Ｒ",30,"2002年","ＲＣ","","","準工業","","","2022年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",2,43000000,"４ＬＤＫ",90,"1989年","ＲＣ","","","１種住居","","","2022年第3四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",8,50000000,"３ＬＤＫ",70,"2001年","ＳＲＣ","","","準工業","","","2022年第3四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",8,47000000,"３ＬＤＫ",75,"2001年","ＳＲＣ","","","準工業","","","2022年第3四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",5,11000000,"１ＤＫ",25,"1981年","ＳＲＣ","","","準工業","","","2022年第3四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",5,11000000,"１ＤＫ",25,"1981年","ＳＲＣ","","","","","","2022年第3四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",11,53000000,"３ＬＤＫ",95,"1999年","ＳＲＣ","","","１種住居","","","2022年第3四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",10,43000000,"３ＬＤＫ",65,"2008年","ＲＣ","","","準工業","","","2022年第3四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",12,28000000,"３ＤＫ",65,"1980年","ＳＲＣ","","","準工業","","","2022年第3四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",10,50000000,"３ＬＤＫ",85,"2005年","ＳＲＣ","","","１種住居","","","2022年第3四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",5,38000000,"３ＬＤＫ",75,"1981年","ＳＲＣ","","","準工業","","","2022年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",3,36000000,"３ＬＤＫ",65,"1982年","ＳＲＣ","","","","","","2022年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",8,50000000,"２ＬＤＫ＋Ｓ",75,"2008年","ＲＣ","","","準工業","","","2022年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",3,34000000,"３ＬＤＫ",65,"1982年","ＳＲＣ","","","","","","2022年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",8,55000000,"３ＬＤＫ＋Ｓ",80,"2008年","ＲＣ","","","準工業","","","2022年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",11,53000000,"２ＬＤＫ",85,"2005年","ＲＣ","","","１種住居","","","2022年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",10,50000000,"３ＬＤＫ",80,"2005年","ＳＲＣ","","","１種住居","","","2022年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",10,54000000,"４ＬＤＫ＋Ｓ",95,"2005年","ＳＲＣ","","","１種住居","","","2022年第4四半期","",""
