Actual Price,Predicted Price
32000000,48572666
39000000,38410000
140000000,162546666
24000000,24975833
40000000,44740000
59000000,54916666
36000000,35500000
12000000,23709000
60000000,50298000
26000000,29650000
42000000,60740000
44000000,47993333
80000000,68639166
40000000,37790833
42000000,47570000
26000000,25920000
70000000,52070000
20000000,34960000
23000000,19520000
70000000,104408968
27000000,22880000
17000000,30385000
11000000,29730000
31000000,36075833
45000000,53500000
73000000,74981285
82000000,68940000
45000000,49725000
140000000,104093333
59000000,64740000
35000000,24285000
30000000,34355000
95000000,74660000
25000000,30300000
120000000,124063253
33000000,28488000
90000000,81910000
90000000,70146666
51000000,56153333
23000000,36590000
15000000,17065500
52000000,49700000
50000000,45296666
52000000,48435000
42000000,33350000
27000000,36685000
90000000,75067333
150000000,92205000
22000000,34360000
140000000,131190000
64000000,90314523
74000000,80340000
59000000,80116666
43000000,25290000
16000000,9382333
70000000,73260000
98000000,58052000
7800000,8899000
53000000,45460000
13000000,21165000
38000000,25100000
19000000,18976333
19000000,28820000
27000000,30459595
90000000,93972857
20000000,19941500
37000000,42992000
62000000,54400000
30000000,27049038
33000000,29682500
56000000,50265000
20000000,21607000
44000000,37211781
60000000,64610000
22000000,17625000
20000000,27164166
17000000,16072666
81000000,51910000
41000000,47510000
94000000,98339000
69000000,77210000
38000000,30620000
34000000,52530000
67000000,69294000
58000000,43464000
120000000,90400000
76000000,98389333
60000000,51720000
59000000,67822107
44000000,48820000
35000000,48834000
36000000,40430000
37000000,44907666
71000000,95346666
34000000,34502000
54000000,42690000
10000000,16749000
35000000,46090000
91000000,89048333
90000000,89330000
56000000,48860000
19000000,34630000
84000000,84083333
16000000,17338000
46000000,55486666
34000000,32180000
59000000,50140000
28000000,33650000
40000000,48790000
31000000,32103333
46000000,50911537
31000000,32630000
35000000,30660000
12000000,13500000
35000000,84396000
34000000,42314416
34000000,41565000
94000000,96505000
30000000,33999634
26000000,31550357
12000000,21887666
59000000,69515000
100000000,69565071
56000000,53790000
60000000,65620595
110000000,98969000
27000000,34050000
14000000,12903000
5600000,6818000
29000000,34096000
14000000,15427500
160000000,179420000
23000000,20704333
82000000,86204333
200000000,136975833
82000000,87833333
35000000,35500000
62000000,66357500
37000000,37906000
15000000,25546000
56000000,61700000
15000000,21800000
43000000,28503666
60000000,68780000
17000000,10761500
65000000,49370000
56000000,53980000
85000000,99687500
55000000,48920000
98000000,95354444
74000000,64460000
13000000,31305000
42000000,43563000
84000000,76845000
31000000,32674000
14000000,13855000
30000000,28794000
110000000,117346379
50000000,61970000
26000000,27596250
140000000,150610000
75000000,77640000
29000000,24485833
44000000,57280000
14000000,16534000
56000000,48850000
54000000,58023333
110000000,102260000
35000000,44572000
76000000,86750857
57000000,55345833
83000000,69390000
84000000,90629833
60000000,82327333
39000000,105510000
110000000,105870000
25000000,29641666
68000000,69600000
38000000,31080000
72000000,59690000
20000000,23396000
110000000,96880000
68000000,57980000
200000000,75700000
43000000,37211781
60000000,39515000
82000000,87370000
68000000,62067500
37000000,45596333
22000000,15942000
46000000,44750000
46000000,30860000
120000000,121506476
22000000,27814666
22000000,25595166
9900000,9814500
73000000,67505000
67000000,67910000
45000000,34190000
67000000,53570000
44000000,31000000
31000000,32389166
11000000,11467000
85000000,92890000
65000000,60470000
150000000,110690833
97000000,83763333
28000000,20381666
44000000,24640000
21000000,22540000
54000000,52855000
93000000,81270000
12000000,15380000
34000000,30410000
27000000,31501666
42000000,64800000
26000000,27140000
38000000,35260000
32000000,34292000
46000000,24291333
83000000,73480000
53000000,47144666
33000000,30725000
44000000,50450000
92000000,80209166
27000000,33030000
38000000,35440000
85000000,79018333
54000000,64740000
23000000,31990000
71000000,132100000
85000000,102644166
60000000,70700000
40000000,42120000
8900000,11407000
29000000,44065000
