取引価格（総額）,面積（㎡）,最寄駅：距離（分）,建築年,築年数,市区町村コード
54000000,45,5,2005,20,7
57000000,35,2,2013,12,7
30000000,30,1,2004,21,7
32000000,35,4,2012,13,7
19000000,25,4,1979,46,7
83000000,65,4,1980,45,7
200000000,70,1,2009,16,7
130000000,60,5,1996,29,7
170000000,65,4,2005,20,7
60000000,45,5,2008,17,7
120000000,70,5,2016,9,7
79000000,60,2,1998,27,7
250000000,90,1,2003,22,7
120000000,60,3,2012,13,7
26000000,25,2,2004,21,7
88000000,60,2,2018,7,7
25000000,25,1,2005,20,7
70000000,35,3,2023,2,7
18000000,20,1,1982,43,7
120000000,70,4,1982,43,7
34000000,30,3,2000,25,7
520000000,105,7,2014,11,7
32000000,45,7,1970,55,7
56000000,45,7,1970,55,7
32000000,30,7,1970,55,7
21000000,30,2,1972,53,7
85000000,60,4,1978,47,7
420000000,110,5,2017,8,7
30000000,25,7,2007,18,7
19000000,20,5,1979,46,7
110000000,55,5,2019,6,7
18000000,20,5,1979,46,7
190000000,60,3,2013,12,7
19000000,25,5,1975,50,7
26000000,25,4,2003,22,7
21000000,30,5,1978,47,7
50000000,40,5,1985,40,7
16000000,20,6,1981,44,7
42000000,45,6,2003,22,7
90000000,45,6,2013,12,7
14000000,20,4,1979,46,7
140000000,80,3,2014,11,7
94000000,70,4,2001,24,7
58000000,40,2,2012,13,7
190000000,90,5,2003,22,7
65000000,45,4,2013,12,7
26000000,25,4,2004,21,7
160000000,70,2,2016,9,7
170000000,60,2,2022,3,7
220000000,80,2,2016,9,7
200000000,70,2,2022,3,7
75000000,55,6,2013,12,7
17000000,20,3,1982,43,7
21000000,25,3,1982,43,7
17000000,20,3,1982,43,7
73000000,45,2,2016,9,7
53000000,45,7,2013,12,7
110000000,60,1,2014,11,7
130000000,70,5,2004,21,7
110000000,65,5,2004,21,7
110000000,60,3,2018,7,7
180000000,70,5,2004,21,7
91000000,60,2,2022,3,7
70000000,55,3,2013,12,7
130000000,60,3,2016,9,7
36000000,30,5,2009,16,7
94000000,40,3,2021,4,7
51000000,30,4,2013,12,7
330000000,95,3,2019,6,7
200000000,80,3,2001,24,7
120000000,80,3,1972,53,7
26000000,20,4,2004,21,7
45000000,40,4,2005,20,7
31000000,20,2,2006,19,7
25000000,20,5,2001,24,7
51000000,25,4,2022,3,7
19000000,15,6,1979,46,7
12000000,15,3,1980,45,7
21000000,20,4,1982,43,7
120000000,60,5,2016,9,7
23000000,20,1,2004,21,7
300000000,115,0,2016,9,7
28000000,25,2,2005,20,7
100000000,50,2,2006,19,7
370000000,120,2,2011,14,7
18000000,15,2,1982,43,7
75000000,55,0,1982,43,7
89000000,40,2,2019,6,7
66000000,75,3,1971,54,7
36000000,30,2,2005,20,7
24000000,20,2,2005,20,7
280000000,120,3,1977,48,7
20000000,15,2,1972,53,7
26000000,20,4,2005,20,7
170000000,60,3,2005,20,7
140000000,75,3,2001,24,3
26000000,40,3,1979,46,3
56000000,45,3,2007,18,3
47000000,35,1,1998,27,3
58000000,45,3,2007,18,3
160000000,80,1,2015,10,3
15000000,25,3,1980,45,3
23000000,20,3,2001,24,3
170000000,95,4,2015,10,3
72000000,60,3,2000,25,3
16000000,25,2,1979,46,3
130000000,70,2,2013,12,3
69000000,50,1,2008,17,3
130000000,85,2,2006,19,3
44000000,40,6,2000,25,3
130000000,70,3,2013,12,3
110000000,65,3,2013,12,3
46000000,40,2,2013,12,3
160000000,70,3,2013,12,3
140000000,80,4,2002,23,3
52000000,45,1,2011,14,3
77000000,60,1,2014,11,3
23000000,25,1,2002,23,3
80000000,60,2,2006,19,3
57000000,45,2,2006,19,3
31000000,25,4,2002,23,3
83000000,80,12,2009,16,3
120000000,75,9,2015,10,3
100000000,80,18,2023,2,3
130000000,75,5,2015,10,3
88000000,70,19,2023,2,3
52000000,45,8,2009,16,3
90000000,65,17,2023,2,3
120000000,75,9,2015,10,3
85000000,75,12,2009,16,3
120000000,75,5,2015,10,3
120000000,75,10,2015,10,3
94000000,75,15,2023,2,3
78000000,60,11,2013,12,3
120000000,85,17,2023,2,3
96000000,75,15,2023,2,3
99000000,70,15,2023,2,3
300000000,95,12,2019,6,3
120000000,75,5,2015,10,3
120000000,65,12,2019,6,3
88000000,60,12,2019,6,3
110000000,70,9,2015,10,3
86000000,65,17,2023,2,3
240000000,95,18,2023,2,3
220000000,110,21,2023,2,3
170000000,110,19,2023,2,3
110000000,70,10,2015,10,3
150000000,85,13,2016,9,3
120000000,75,9,2015,10,3
140000000,75,13,2016,9,3
120000000,95,14,2023,2,3
260000000,110,19,2023,2,3
160000000,100,18,2023,2,3
150000000,75,5,2015,10,3
150000000,75,5,2015,10,3
92000000,75,19,2023,2,3
130000000,85,18,2023,2,3
140000000,75,10,2015,10,3
210000000,90,12,2019,6,3
140000000,90,16,2023,2,3
48000000,40,10,2009,16,3
120000000,65,5,2015,10,3
94000000,60,5,2015,10,3
88000000,75,10,2009,16,3
84000000,60,11,2016,9,3
160000000,65,5,2015,10,3
150000000,90,17,2023,2,3
66000000,60,12,2009,16,3
140000000,75,11,2013,12,3
100000000,75,15,2023,2,3
100000000,80,17,2023,2,3
91000000,65,17,2023,2,3
110000000,85,15,2023,2,3
160000000,85,12,2013,12,3
110000000,80,18,2023,2,3
93000000,60,13,2016,9,3
90000000,65,20,2023,2,3
91000000,65,20,2023,2,3
94000000,60,5,2015,10,3
50000000,45,11,2009,16,3
100000000,65,12,2013,12,3
120000000,65,5,2015,10,3
100000000,75,15,2023,2,3
130000000,75,5,2015,10,3
140000000,75,5,2015,10,3
67000000,50,12,2009,16,3
150000000,90,18,2023,2,3
200000000,95,18,2023,2,3
99000000,70,11,2013,12,3
62000000,45,13,2016,9,3
120000000,80,18,2023,2,3
100000000,80,15,2023,2,3
130000000,75,5,2015,10,3
90000000,60,12,2019,6,3
130000000,75,10,2013,12,3
110000000,60,5,2015,10,3
76000000,50,13,2016,9,3
120000000,80,5,2015,10,3
220000000,100,5,2015,10,3
76000000,45,5,2015,10,3
100000000,65,12,2013,12,3
88000000,60,6,2015,10,3
120000000,65,5,2015,10,3
120000000,65,5,2015,10,3
120000000,65,5,2015,10,3
170000000,100,16,2023,2,3
110000000,65,11,2013,12,3
160000000,90,9,2015,10,3
180000000,80,18,2025,0,3
67000000,65,9,2000,25,3
180000000,90,7,2016,9,3
100000000,90,5,2000,25,3
85000000,70,7,2007,18,3
120000000,75,7,2016,9,3
52000000,45,2,2009,16,3
79000000,75,8,2012,13,3
130000000,60,2,2023,2,3
82000000,70,7,2007,18,3
190000000,75,1,2023,2,3
150000000,75,1,2010,15,3
150000000,110,5,2000,25,3
190000000,95,7,2016,9,3
120000000,80,6,2008,17,3
25000000,40,9,1973,52,3
170000000,105,7,2008,17,3
120000000,90,7,2008,17,3
69000000,55,2,2014,11,3
290000000,95,2,2023,2,3
110000000,75,7,2008,17,3
68000000,65,5,2003,22,3
120000000,75,7,2016,9,3
170000000,105,7,2008,17,3
100000000,90,5,2000,25,3
160000000,75,2,2023,2,3
110000000,60,1,2010,15,3
73000000,45,7,2016,9,3
110000000,85,5,1998,27,3
100000000,60,7,2016,9,3
45000000,35,9,2021,4,3
82000000,50,7,2016,9,3
250000000,95,2,2024,1,3
88000000,40,1,2023,2,3
60000000,45,8,2016,9,3
32000000,45,10,1973,52,3
130000000,70,7,2016,9,3
200000000,80,2,2023,2,3
120000000,70,6,2016,9,3
63000000,60,3,2004,21,3
140000000,90,7,2008,17,3
140000000,75,3,2024,1,3
100000000,70,7,2016,9,3
170000000,70,1,2023,2,3
83000000,65,2,2014,11,3
92000000,60,7,2016,9,3
110000000,45,1,2023,2,3
56000000,25,1,2023,2,3
170000000,75,2,2023,2,3
46000000,40,3,2014,11,3
120000000,85,7,2008,17,3
110000000,70,7,2016,9,3
190000000,75,1,2023,2,3
160000000,65,2,2023,2,3
190000000,75,2,2023,2,3
67000000,55,10,1997,28,3
120000000,80,8,2008,17,3
100000000,45,1,2023,2,3
110000000,70,3,2014,11,3
54000000,50,3,2005,20,3
120000000,60,3,2022,3,3
99000000,60,6,2017,8,3
78000000,55,7,2012,13,3
84000000,60,3,2014,11,3
26000000,30,4,1991,34,3
79000000,80,5,2003,22,3
51000000,55,5,2003,22,3
30000000,25,5,2004,21,3
41000000,35,6,1999,26,3
45000000,45,4,1978,47,3
35000000,25,5,2004,21,3
76000000,45,10,2019,6,3
27000000,25,4,2004,21,3
69000000,35,6,2002,23,3
88000000,30,3,2006,19,3
53000000,20,3,2006,19,3
78000000,60,4,2003,22,3
110000000,65,4,2018,7,3
57000000,45,2,2013,12,3
97000000,60,4,2018,7,3
52000000,40,1,2017,8,3
19000000,20,2,2003,22,3
51000000,45,4,2003,22,3
44000000,45,3,2009,16,3
140000000,80,4,2017,8,3
28000000,30,2,2012,13,3
140000000,70,4,2017,8,3
98000000,65,1,2018,7,3
79000000,65,1,2017,8,3
45000000,40,3,2009,16,3
73000000,65,3,2004,21,3
68000000,45,3,2020,5,3
55000000,45,2,2005,20,3
80000000,45,5,2019,6,3
140000000,75,7,2019,6,3
170000000,80,7,2019,6,3
210000000,75,6,2017,8,3
120000000,75,5,2015,10,3
82000000,65,5,2005,20,3
55000000,40,5,2019,6,3
80000000,50,7,2019,6,3
120000000,60,7,2019,6,3
84000000,60,5,2001,24,3
29000000,40,3,1978,47,3
80000000,60,6,2011,14,3
78000000,60,7,2004,21,3
44000000,35,4,2004,21,3
67000000,40,4,2020,5,3
80000000,60,6,2015,10,3
44000000,40,2,2006,19,3
94000000,55,4,2019,6,3
31000000,50,8,1979,46,3
65000000,40,2,2019,6,3
52000000,40,5,2004,21,3
92000000,65,3,2004,21,3
49000000,45,8,2005,20,3
24000000,25,8,1999,26,3
22000000,25,8,1999,26,3
75000000,55,8,2005,20,3
24000000,25,2,2003,22,3
33000000,45,4,1982,43,3
75000000,55,5,2018,7,3
26000000,20,1,2000,25,3
59000000,45,6,2012,13,3
14000000,25,6,1979,46,3
140000000,60,3,2021,4,3
30000000,30,1,2004,21,3
16000000,30,7,1974,51,3
86000000,60,6,2012,13,3
97000000,55,2,2004,21,3
22000000,40,2,1971,54,3
58000000,45,1,2007,18,3
75000000,45,2,2014,11,3
19000000,30,3,1982,43,3
53000000,45,1,2010,15,3
190000000,80,2,2020,5,3
51000000,40,3,2003,22,3
100000000,80,2,2003,22,3
59000000,60,3,1982,43,3
170000000,75,2,2020,5,3
80000000,60,5,2012,13,3
160000000,70,2,2020,5,3
84000000,40,1,2015,10,3
100000000,85,2,2003,22,3
58000000,45,2,2020,5,3
120000000,55,1,2015,10,3
170000000,75,2,2020,5,3
68000000,45,3,2011,14,3
80000000,55,3,2008,17,3
78000000,65,6,2014,11,3
400000000,115,1,2015,10,3
140000000,90,1,2003,22,3
130000000,85,2,2002,23,3
74000000,55,2,2002,23,3
73000000,60,1,2006,19,3
92000000,70,3,2004,21,3
110000000,75,3,2004,21,3
86000000,60,7,1991,34,3
38000000,50,3,1979,46,3
140000000,90,2,2002,23,3
120000000,80,9,1999,26,3
90000000,55,2,2020,5,3
100000000,80,7,1991,34,3
56000000,40,1,2002,23,3
26000000,25,3,2004,21,3
49000000,45,3,2004,21,3
82000000,60,4,2003,22,3
43000000,45,8,1995,30,3
34000000,35,6,1980,45,3
23000000,35,6,1976,49,3
40000000,50,8,1979,46,3
80000000,75,6,1990,35,3
48000000,45,7,2003,22,3
24000000,40,5,1976,49,3
25000000,35,6,1976,49,3
100000000,55,2,2020,5,3
43000000,40,3,2002,23,3
83000000,60,3,2011,14,3
95000000,70,6,1998,27,3
87000000,85,4,1988,37,3
27000000,25,3,2001,24,3
15000000,30,1,1980,45,3
75000000,55,5,1999,26,3
54000000,45,4,2016,9,3
140000000,70,5,2019,6,3
110000000,70,6,2015,10,3
37000000,45,3,1977,48,3
41000000,40,7,1980,45,3
150000000,85,4,2011,14,3
55000000,45,4,2012,13,3
150000000,75,4,2021,4,3
68000000,55,3,2006,19,3
82000000,55,9,2004,21,3
63000000,50,1,2011,14,3
63000000,50,1,2011,14,3
130000000,75,2,2014,11,3
140000000,75,3,2019,6,3
95000000,65,1,2002,23,3
56000000,50,4,1985,40,3
150000000,65,2,2018,7,3
26000000,15,3,2002,23,3
25000000,20,3,2002,23,3
25000000,20,2,2003,22,3
27000000,20,2,2003,22,3
68000000,55,4,2000,25,3
98000000,70,6,2008,17,3
86000000,70,6,2016,9,3
66000000,60,4,2003,22,3
90000000,50,0,2010,15,3
75000000,55,3,2012,13,3
29000000,20,5,2002,23,3
36000000,25,3,2015,10,3
220000000,95,2,2023,2,3
80000000,60,2,2014,11,3
180000000,85,6,2016,9,3
110000000,80,6,2008,17,3
18000000,20,3,1975,50,3
80000000,65,6,2008,17,3
27000000,30,10,1973,52,3
89000000,70,4,2002,23,3
140000000,70,6,2016,9,3
41000000,30,3,1999,26,3
59000000,35,2,2004,21,3
120000000,50,1,2002,23,3
69000000,30,1,2002,23,3
22000000,25,7,2012,13,3
23000000,15,6,1999,26,3
27000000,20,4,2002,23,3
85000000,65,5,2002,23,3
24000000,20,7,1999,26,3
47000000,30,1,1998,27,3
31000000,20,2,2004,21,3
22000000,20,2,1998,27,3
18000000,25,4,1974,51,3
110000000,80,0,2003,22,3
29000000,20,5,2003,22,3
100000000,75,5,2003,22,3
100000000,75,5,2003,22,3
68000000,40,3,2011,14,3
51000000,35,3,2003,22,3
54000000,35,1,2006,19,3
110000000,75,7,1991,34,3
180000000,80,9,1999,26,3
67000000,55,1,2006,19,3
36000000,25,1,2013,12,3
130000000,70,9,1999,26,3
22000000,20,3,2002,23,3
26000000,20,2,2007,18,3
27000000,30,3,2010,15,3
33000000,25,4,2012,13,3
67000000,40,2,2012,13,3
24000000,20,2,2004,21,3
69000000,40,1,2008,17,3
29000000,20,2,2002,23,3
94000000,55,3,2019,6,3
46000000,45,4,1982,43,3
23000000,15,7,2003,22,3
26000000,25,4,1999,26,3
25000000,20,3,2002,23,3
160000000,100,6,2016,9,3
83000000,55,3,2011,14,3
31000000,45,2,1974,51,3
26000000,20,3,2004,21,3
53000000,40,3,2010,15,3
65000000,40,4,2016,9,3
80000000,50,2,2019,6,3
160000000,70,3,2022,3,3
37000000,25,2,2005,20,3
20000000,15,1,1983,42,3
85000000,65,13,2016,9,3
94000000,65,11,2015,10,3
130000000,70,10,2015,10,3
66000000,65,13,2009,16,3
180000000,100,10,2015,10,3
100000000,60,11,2013,12,3
120000000,70,13,2016,9,3
91000000,55,10,2015,10,3
110000000,90,9,1998,27,3
100000000,70,10,2015,10,3
62000000,50,6,2009,16,3
50000000,70,12,2013,12,3
88000000,65,11,2013,12,3
81000000,75,9,1998,27,3
30000000,20,1,2004,21,3
29000000,20,1,2004,21,3
25000000,20,5,2004,21,3
76000000,55,2,2005,20,3
42000000,25,1,2015,10,3
60000000,50,2,2014,11,3
43000000,45,5,2003,22,3
46000000,35,5,2003,22,3
63000000,30,6,2019,6,3
81000000,40,3,2002,23,33
110000000,55,6,2014,11,33
120000000,55,3,2002,23,33
82000000,45,3,2002,23,33
90000000,45,3,2002,23,33
200000000,85,10,1978,47,33
130000000,65,10,1978,47,33
530000000,130,9,2010,15,33
570000000,130,4,2018,7,33
300000000,85,10,2016,9,33
280000000,135,9,1974,51,33
46000000,25,5,2023,2,33
52000000,25,5,2023,2,33
48000000,25,6,2023,2,33
52000000,25,6,2023,2,33
82000000,70,4,2002,23,33
51000000,25,6,2023,2,33
52000000,25,6,2023,2,33
49000000,25,6,2023,2,33
7000000,15,12,1975,50,33
91000000,65,10,2016,9,33
34000000,40,13,1980,45,33
25000000,25,11,2006,19,33
52000000,25,6,2023,2,33
75000000,60,12,2020,5,33
54000000,25,6,2023,2,33
120000000,45,6,2023,2,33
56000000,25,6,2023,2,33
89000000,55,12,2020,5,33
48000000,25,6,2023,2,33
460000000,105,6,2023,2,33
83000000,45,11,2017,8,33
230000000,180,5,1991,34,33
130000000,55,1,2005,20,33
380000000,90,3,2023,2,33
27000000,25,8,2004,21,33
1000000000,145,3,2023,2,33
190000000,100,5,2001,24,33
360000000,85,3,2023,2,33
200000000,75,1,2005,20,33
380000000,90,3,2022,3,33
200000000,90,1,2005,20,33
220000000,70,10,2015,10,33
160000000,60,3,2023,2,33
120000000,65,11,2017,8,33
170000000,75,1,2005,20,33
97000000,55,5,2001,24,33
160000000,60,3,2023,2,33
50000000,45,10,1982,43,33
160000000,115,7,1990,35,33
25000000,35,5,1977,48,33
41000000,25,6,2020,5,33
200000000,65,7,2022,3,33
190000000,65,7,2022,3,33
140000000,125,5,1973,52,33
140000000,75,12,2003,22,33
40000000,45,8,1968,57,33
200000000,85,2,2018,7,33
75000000,85,6,1973,52,33
81000000,60,6,1980,45,33
78000000,80,5,1973,52,33
45000000,55,11,1985,40,33
170000000,75,6,2013,12,33
65000000,75,6,1989,36,33
82000000,35,1,2022,3,33
210000000,70,1,2022,3,33
23000000,35,7,1969,56,33
150000000,130,4,1990,35,33
33000000,30,4,1969,56,33
36000000,35,7,1971,54,33
110000000,100,7,1970,55,33
92000000,55,9,1997,28,33
42000000,45,7,1968,57,33
160000000,110,5,1972,53,33
80000000,45,1,2013,12,33
40000000,25,3,2000,25,33
170000000,80,6,2005,20,33
140000000,60,2,2021,4,33
83000000,75,1,1972,53,33
30000000,25,7,2002,23,33
23000000,25,7,2002,23,33
27000000,25,7,2002,23,33
95000000,95,7,1969,56,33
340000000,65,2,2014,11,33
34000000,25,3,2000,25,33
110000000,50,2,2008,17,33
130000000,60,3,2012,13,33
320000000,70,3,2021,4,33
47000000,30,3,2015,10,33
220000000,70,6,2006,19,33
430000000,80,5,2019,6,33
24000000,25,5,2002,23,33
33000000,25,1,2006,19,33
330000000,80,6,2019,6,33
27000000,20,1,2003,22,33
27000000,20,2,2000,25,33
45000000,25,4,2014,11,33
42000000,30,2,2016,9,33
340000000,105,7,2019,6,33
75000000,65,8,1978,47,33
99000000,60,10,2002,23,33
65000000,75,7,1972,53,33
46000000,35,11,2003,22,33
57000000,55,10,1969,56,33
48000000,35,12,2003,22,33
65000000,70,7,1978,47,33
95000000,60,10,2002,23,33
43000000,30,2,1980,45,33
60000000,50,11,1981,44,33
23000000,20,2,1980,45,33
77000000,55,5,1970,55,33
140000000,65,11,2012,13,33
150000000,70,8,2012,13,33
120000000,80,11,1982,43,33
31000000,30,2,1980,45,33
130000000,70,11,2021,4,33
48000000,35,7,2001,24,33
8500000,15,7,1985,40,33
77000000,60,7,2013,12,33
550000000,125,4,2004,21,33
450000000,110,10,2020,5,33
80000000,60,7,2013,12,33
54000000,45,7,1983,42,33
34000000,40,7,1969,56,33
12000000,20,12,1995,30,33
70000000,30,5,2020,5,33
170000000,60,5,2020,5,33
53000000,30,5,2020,5,33
40000000,40,9,1978,47,33
180000000,65,6,2014,11,33
36000000,50,11,1977,48,33
130000000,55,5,2015,10,33
82000000,65,7,1997,28,33
870000000,180,11,2020,5,33
65000000,35,7,2019,6,33
52000000,45,7,1980,45,33
34000000,30,9,2002,23,33
100000000,50,1,2003,22,33
78000000,80,3,1967,58,33
240000000,75,8,2012,13,33
240000000,75,8,2012,13,33
88000000,45,4,2013,12,33
120000000,90,4,1979,46,33
15000000,20,3,1973,52,33
14000000,20,2,1973,52,33
120000000,55,4,2006,19,33
130000000,60,5,2018,7,33
15000000,20,4,1975,50,33
25000000,20,3,1973,52,33
85000000,80,3,1969,56,33
140000000,50,3,2011,14,33
85000000,40,5,2018,7,33
33000000,35,2,1978,47,33
170000000,105,15,2005,20,33
74000000,65,15,2005,20,33
150000000,85,14,2005,20,33
70000000,55,10,2005,20,33
180000000,90,14,2006,19,33
120000000,70,11,2005,20,33
88000000,65,8,2006,19,33
63000000,50,15,2005,20,33
200000000,80,6,2003,22,33
180000000,110,12,2004,21,33
110000000,90,15,2005,20,33
160000000,95,14,2005,20,33
110000000,100,17,2004,21,33
52000000,40,11,2005,20,33
89000000,60,15,2005,20,33
160000000,95,14,2005,20,33
130000000,85,15,2006,19,33
210000000,95,15,2005,20,33
110000000,80,14,2006,19,33
26000000,25,14,2008,17,33
130000000,90,15,2005,20,33
130000000,90,11,2005,20,33
87000000,60,15,2005,20,33
71000000,75,10,2008,17,33
190000000,80,6,2003,22,33
100000000,70,10,2005,20,33
51000000,55,14,2008,17,33
78000000,65,15,2005,20,33
50000000,40,10,2005,20,33
100000000,90,10,2008,17,33
60000000,55,15,2005,20,33
150000000,90,14,2005,20,33
80000000,60,11,2005,20,33
110000000,75,15,2006,19,33
170000000,85,13,2005,20,33
120000000,85,11,2005,20,33
29000000,25,2,2002,23,33
170000000,85,6,2007,18,33
83000000,45,6,2007,18,33
15000000,20,9,1980,45,33
40000000,30,3,2018,7,33
24000000,25,5,2006,19,33
42000000,30,4,2015,10,33
240000000,90,6,2007,18,33
330000000,130,3,2006,19,33
130000000,70,6,2006,19,33
19000000,20,2,1980,45,33
35000000,60,2,1971,54,33
13000000,30,4,1979,46,33
64000000,65,3,1979,46,33
24000000,20,3,2001,24,33
50000000,60,4,1979,46,33
150000000,70,6,2005,20,33
65000000,55,4,1978,47,33
140000000,60,4,2023,2,33
160000000,75,1,2017,8,33
70000000,65,7,1977,48,33
83000000,65,3,1981,44,33
240000000,105,2,2004,21,33
58000000,50,5,1978,47,33
56000000,35,7,2017,8,33
130000000,60,6,2019,6,33
34000000,20,4,2005,20,33
26000000,30,8,1981,44,33
68000000,40,5,2017,8,33
240000000,85,8,2021,4,33
160000000,60,5,2009,16,33
72000000,75,6,1974,51,33
120000000,60,6,2018,7,33
68000000,35,7,2023,2,33
230000000,70,3,2010,15,33
180000000,65,5,2009,16,33
180000000,80,6,2018,7,33
48000000,30,5,2017,8,33
200000000,80,8,2021,4,33
83000000,65,10,1985,40,33
130000000,65,8,2012,13,33
36000000,40,3,1972,53,33
25000000,25,5,2008,17,33
110000000,75,5,1998,27,33
67000000,40,3,2005,20,33
130000000,55,7,2023,2,33
250000000,80,5,2009,16,33
240000000,65,3,2010,15,33
35000000,45,9,1970,55,33
30000000,20,10,2002,23,33
70000000,60,8,1978,47,33
93000000,65,9,1997,28,33
290000000,100,9,2002,23,33
